fecha,red,dimension,categoria,valor,unidad
2026-07-30,Instagram,ciudad,"A Coruña, Galicia",4,seguidores
2026-07-30,Instagram,ciudad,"Albacete, Castilla-La Mancha",2,seguidores
2026-07-30,Instagram,ciudad,"Alcobendas, Comunidad de Madrid",5,seguidores
2026-07-30,Instagram,ciudad,"Alicante, Comunidad Valenciana",8,seguidores
2026-07-30,Instagram,ciudad,"Altea, Comunidad Valenciana",2,seguidores
2026-07-30,Instagram,ciudad,"Badalona, Cataluña",4,seguidores
2026-07-30,Instagram,ciudad,"Barcelona, Cataluña",42,seguidores
2026-07-30,Instagram,ciudad,"Burlada, Navarra",2,seguidores
2026-07-30,Instagram,ciudad,"Cala Millor, Balearic Islands",2,seguidores
2026-07-30,Instagram,ciudad,"Castro-Urdiales, Cantabria",2,seguidores
2026-07-30,Instagram,ciudad,"Córdoba, Andalusia",2,seguidores
2026-07-30,Instagram,ciudad,"Denia, Comunidad Valenciana",2,seguidores
2026-07-30,Instagram,ciudad,"Estepona, Andalusia",2,seguidores
2026-07-30,Instagram,ciudad,"Granada, Andalusia",2,seguidores
2026-07-30,Instagram,ciudad,"Las Palmas de Gran Canaria, Islas Canarias",3,seguidores
2026-07-30,Instagram,ciudad,"León, Castilla y Leon",3,seguidores
2026-07-30,Instagram,ciudad,"Lleida, Cataluña",3,seguidores
2026-07-30,Instagram,ciudad,"Los Palacios y Villafranca, Andalusia",2,seguidores
2026-07-30,Instagram,ciudad,"Madrid, Comunidad de Madrid",38,seguidores
2026-07-30,Instagram,ciudad,"Marbella, Andalusia",9,seguidores
2026-07-30,Instagram,ciudad,"Mataró, Cataluña",3,seguidores
2026-07-30,Instagram,ciudad,"Molina de Segura, Region of Murcia",2,seguidores
2026-07-30,Instagram,ciudad,"Murcia, Region of Murcia",2,seguidores
2026-07-30,Instagram,ciudad,"Málaga, Andalusia",5,seguidores
2026-07-30,Instagram,ciudad,"Olesa de Montserrat, Cataluña",4,seguidores
2026-07-30,Instagram,ciudad,"Oviedo, Principality of Asturias",2,seguidores
2026-07-30,Instagram,ciudad,"Palma de Mallorca, Balearic Islands",5,seguidores
2026-07-30,Instagram,ciudad,"Pilar de la Horadada, Comunidad Valenciana",2,seguidores
2026-07-30,Instagram,ciudad,"Ponferrada, Castilla y Leon",2,seguidores
2026-07-30,Instagram,ciudad,"Pozuelo de Alarcón, Comunidad de Madrid",2,seguidores
2026-07-30,Instagram,ciudad,"Puebla de Vallbona, Comunidad Valenciana",2,seguidores
2026-07-30,Instagram,ciudad,"Salamanca, Castilla y Leon",2,seguidores
2026-07-30,Instagram,ciudad,"San Juan de Alicante, Comunidad Valenciana",2,seguidores
2026-07-30,Instagram,ciudad,"San Vicente del Raspeig, Comunidad Valenciana",2,seguidores
2026-07-30,Instagram,ciudad,"Sant Just Desvern, Cataluña",2,seguidores
2026-07-30,Instagram,ciudad,"Santa Cruz de Tenerife, Islas Canarias",5,seguidores
2026-07-30,Instagram,ciudad,"Seville, Andalusia",3,seguidores
2026-07-30,Instagram,ciudad,"Tarifa, Andalusia",2,seguidores
2026-07-30,Instagram,ciudad,"Tarragona, Cataluña",3,seguidores
2026-07-30,Instagram,ciudad,"Teguise, Islas Canarias",2,seguidores
2026-07-30,Instagram,ciudad,"Terrassa, Cataluña",2,seguidores
2026-07-30,Instagram,ciudad,"Torrejón de Ardoz, Comunidad de Madrid",2,seguidores
2026-07-30,Instagram,ciudad,"Torremolinos, Andalusia",2,seguidores
2026-07-30,Instagram,ciudad,"Valencia, Comunidad Valenciana",12,seguidores
2026-07-30,Instagram,ciudad,"Zaragoza, Aragón",3,seguidores
2026-07-30,Instagram,edad,18-24,4,seguidores
2026-07-30,Instagram,edad,25-34,49,seguidores
2026-07-30,Instagram,edad,35-44,107,seguidores
2026-07-30,Instagram,edad,45-54,145,seguidores
2026-07-30,Instagram,edad,55-64,75,seguidores
2026-07-30,Instagram,edad,65+,24,seguidores
2026-07-30,Instagram,genero,F,226,seguidores
2026-07-30,Instagram,genero,M,92,seguidores
2026-07-30,Instagram,genero,U,86,seguidores
2026-07-30,Instagram,pais,AR,1,seguidores
2026-07-30,Instagram,pais,DE,1,seguidores
2026-07-30,Instagram,pais,ES,399,seguidores
2026-07-30,Instagram,pais,RU,1,seguidores
2026-07-30,Instagram,pais,US,1,seguidores
2026-07-30,Instagram,pais,VE,1,seguidores
2026-07-31,Instagram,ciudad,"A Coruña, Galicia",4,seguidores
